Index    Invoke Time(sec)       Use Size(byte)     Total Size(byte)         Total Object                    GC Time(ms) GC 5499 invokes.        48.225620756
    1               0.053               303160              1142400                28560         1.96262499999998873967
    2               0.065               303280              1142400                28560         0.68037300000012290724
    3               0.075               303320              1142400                28560         0.53829499999991092807
    4               0.085               303360              1142400                28560         0.51340699999997962966
    5               0.095               303400              1142400                28560         0.54304200000003521875
    6               0.105               303440              1142400                28560         0.53258100000000418994
    7               0.115               303480              1142400                28560         0.56844100000004449402
    8               0.125               303520              1142400                28560         0.63210200000013427868
    9               0.135               303560              1142400                28560         0.56991500000005967941
   10               0.145               303600              1142400                28560         0.51755800000014007267
   11               0.155               303640              1142400                28560         0.50090799999985557989
   12               0.164               303680              1142400                28560         0.50058500000013661513
   13               0.174               303720              1142400                28560         0.48771200000008452236
   14               0.183               303760              1142400                28560         0.48563800000003820578
   15               0.193               303800              1142400                28560         0.52707600000007071017
   16               0.203               303840              1142400                28560         0.51997399999997861997
   17               0.213               303880              1142400                28560         0.54464300000003906810
   18               0.222               303920              1142400                28560         0.54210900000006834176
   19               0.232               303960              1142400                28560         0.59497799999985723218
   20               0.242               304000              1142400                28560         0.52463200000005261181
   21               0.251               304040              1142400                28560         0.51848299999979197139
   22               0.261               304080              1142400                28560         0.52658200000010868536
   23               0.271               304120              1142400                28560         0.47639099999990941470
   24               0.280               304160              1142400                28560         0.48323900000007968814
   25               0.289               304200              1142400                28560         0.51403900000002167303
   26               0.299               304240              1142400                28560         0.50989199999995626911
   27               0.309               304280              1142400                28560         0.55847199999975449813
   28               0.319               304320              1142400                28560         0.48288100000026812353
   29               0.328               304360              1142400                28560         0.49471500000008994391
   30               0.338               304400              1142400                28560         0.56427699999994640478
   31               0.348               304440              1142400                28560         0.71190900000039913920
   32               0.360               304480              1142400                28560         0.50505499999942138345
   33               0.370               304520              1142400                28560         0.52696099999993695207
   34               0.380               304560              1142400                28560         0.57299900000024051039
   35               0.389               304600              1142400                28560         0.53089700000003015035
   36               0.399               304640              1142400                28560         0.60798700000008754074
   37               0.409               304680              1142400                28560         0.51907400000011927332
   38               0.419               304720              1142400                28560         0.57942199999977406222
   39               0.429               304760              1142400                28560         0.47653300000005671677
   40               0.439               304800              1142400                28560         0.55926200000000481083
   41               0.449               304840              1142400                28560         0.51417900000005900552
   42               0.458               304880              1142400                28560         0.49787899999997886624
   43               0.468               304920              1142400                28560         0.54355299999991890658
   44               0.478               304960              1142400                28560         0.51715100000054858853
   45               0.488               305000              1142400                28560         0.47619100000023673047
   46               0.497               305040              1142400                28560         0.49450199999978572407
   47               0.507               305080              1142400                28560         0.53012299999988243826
   48               0.517               305120              1142400                28560         0.53102599999976796141
   49               0.527               305160              1142400                28560         0.57516999999995821469
   50               0.536               305200              1142400                28560         0.49120199999985736383
   51               0.546               305240              1142400                28560         0.52461100000045224334
   52               0.556               305280              1142400                28560         0.51466399999999801196
   53               0.566               305320              1142400                28560         0.52880100000018970263
   54               0.576               305360              1142400                28560         0.59285599999947535821
   55               0.586               305400              1142400                28560         0.52832200000052509381
   56               0.595               305440              1142400                28560         0.56046100000062271107
   57               0.606               305480              1142400                28560         0.56775300000011519330
   58               0.615               305520              1142400                28560         0.57634500000047772517
   59               0.625               305560              1142400                28560         0.51042999999995064542
   60               0.635               305600              1142400                28560         0.55463600000005275348
   61               0.645               305640              1142400                28560         0.53757500000006785967
   62               0.655               305680              1142400                28560         0.53202499999960295440
   63               0.665               305720              1142400                28560         0.53750900000026913261
   64               0.674               305760              1142400                28560         0.52448999999965550955
   65               0.684               305800              1142400                28560         0.51997400000003413112
   66               0.694               305840              1142400                28560         0.47251399999992393930
   67               0.704               305880              1142400                28560         0.51323100000033594625
   68               0.714               305920              1142400                28560         0.57620599999985699924
   69               0.723               305960              1142400                28560         0.55298400000003411492
   70               0.733               306000              1142400                28560         0.50998900000076563543
   71               0.743               306040              1142400                28560         0.55939600000010081260
   72               0.753               306080              1142400                28560         0.51506300000037086306
   73               0.763               306120              1142400                28560         0.49588299999958618258
   74               0.773               306160              1142400                28560         0.61255299999962709023
   75               0.783               306200              1142400                28560         0.53700400000045167559
   76               0.793               306240              1142400                28560         0.58231600000036021214
   77               0.804               306280              1142400                28560         0.56368799999984009474
   78               0.814               306320              1142400                28560         0.48329599999941130761
   79               0.824               306360              1142400                28560         0.57291200000020303662
   80               0.834               306400              1142400                28560         0.51746699999954959281
   81               0.844               306440              1142400                28560         0.51386699999922402782
   82               0.854               306480              1142400                28560         0.51964899999978886314
   83               0.864               306520              1142400                28560         0.54395499999992935614
   84               0.874               306560              1142400                28560         0.50567599999951085010
   85               0.884               306600              1142400                28560         0.50147200000039138246
   86               0.894               306640              1142400                28560         0.59502199999938998332
   87               0.905               306680              1142400                28560         0.55932399999980564331
   88               0.915               306720              1142400                28560         0.49475500000029093428
   89               0.925               306760              1142400                28560         0.55812199999949463347
   90               0.935               306800              1142400                28560         0.53614100000054509820
   91               0.945               306840              1142400                28560         0.49708000000003860208
   92               0.956               306880              1142400                28560         0.59516800000036784724
   93               0.966               306920              1142400                28560         0.53700100000042549908
   94               0.976               306960              1142400                28560         0.51369500000009171714
   95               0.985               307000              1142400                28560         0.55181100000001315209
   96               0.995               307040              1142400                28560         0.49300199999979810173
   97               1.005               307080              1142400                28560         0.52884299999900186151
   98               1.015               307120              1142400                28560         0.50799399999967853603
   99               1.024               307160              1142400                28560         0.53983300000037814925
  100               1.034               307200              1142400                28560         0.49138399999937298901
  101               1.044               307240              1142400                28560         0.48946900000146342791
